Id,Quantidade,DataColetaDados,IdPesquisa,IdFavela
1,332,dez./14,1,26
2,123,dez./14,1,9
3,597,dez./14,5,180
4,6500,dez./14,5,44
5,243,dez./14,5,501
6,82,dez./19,2,534
7,243,dez./14,5,423
8,155,dez./14,1,96
9,172,dez./14,5,124
10,1849,dez./14,5,165
11,31,dez./14,1,127
12,48,dez./14,1,514
13,58,dez./14,5,515
14,544,dez./14,5,135
15,1207,dez./14,5,507
16,16,dez./14,3,45
17,331,dez./14,5,20
18,410,dez./14,5,504
19,158,dez./14,1,233
20,160,dez./14,1,506
21,49,dez./14,1,419
22,99,dez./14,5,420
23,497,dez./14,5,78
24,5816,dez./14,1,137
25,120,dez./14,5,49
26,22,dez./14,5,503
27,56,dez./14,5,442
28,700,dez./14,5,7
29,171,dez./19,2,537
30,139,dez./14,1,138
31,132,dez./14,1,51
32,17,dez./14,1,52
33,1451,dez./14,5,153
34,246,dez./14,5,2
35,860,dez./14,5,64
36,237,dez./14,1,116
37,258,dez./19,2,536
38,225,dez./19,2,535
39,889,dez./14,5,92
40,1113,dez./14,1,8
41,1316,dez./14,1,164
42,203,dez./14,5,252
43,988,dez./14,1,66
44,79,dez./14,1,119
45,470,dez./14,5,24
46,89,dez./14,1,154
47,76,dez./14,1,225
48,4482,dez./14,5,43
49,472,dez./14,5,98
50,286,dez./14,1,243
51,50,dez./14,5,519
52,99,dez./14,1,199
53,343,dez./14,1,99
54,588,dez./14,1,3
55,457,dez./14,5,39
56,1166,dez./14,5,41
57,71,dez./14,5,167
58,59,dez./14,5,54
59,135,dez./14,1,197
60,33,dez./08,3,74
61,209,dez./14,5,139
62,160,dez./17,3,532
63,497,dez./14,1,140
64,306,dez./14,5,418
65,4459,dez./14,1,117
66,115,dez./14,1,55
67,1047,dez./14,5,141
68,24,dez./14,5,101
69,18,dez./14,1,25
70,19,dez./14,5,109
71,1927,dez./14,5,40
72,1011,dez./14,1,42
73,257,dez./14,5,15
74,89,dez./14,1,212
75,706,dez./14,5,118
76,238,dez./14,5,103
77,100,dez./04,4,411
78,227,dez./14,5,443
79,86,dez./14,1,437
80,330,dez./14,1,29
81,100,dez./14,1,438
82,1307,dez./14,5,30
83,1975,dez./14,5,31
84,2766,dez./14,1,32
85,38,dez./14,5,172
86,2509,dez./14,1,120
87,457,dez./19,2,533
88,127,dez./14,5,156
89,273,dez./14,1,218
90,1367,dez./14,5,220
91,51,dez./14,1,34
92,330,dez./18,6,530
93,30,dez./14,1,445
94,206,dez./14,1,509
95,39,dez./14,1,35
96,794,dez./14,1,5
97,1485,dez./14,5,37
98,858,dez./14,5,144
99,1152,dez./14,1,38
100,179,dez./14,5,110
101,73,dez./14,1,421
102,269,dez./14,5,111
103,477,dez./14,1,433
104,519,dez./14,1,145
105,769,dez./14,1,146
106,839,dez./14,5,147
107,342,dez./14,5,60
108,104,dez./14,1,85
109,162,dez./14,1,61
110,902,dez./14,5,113
111,355,dez./14,1,114
112,228,dez./17,6,531
113,265,dez./14,5,83
114,538,dez./14,1,93
115,617,dez./14,5,178
116,50,dez./14,1,168
117,2069,dez./14,5,150
118,68,dez./14,5,251
119,173,dez./14,1,155
120,55,dez./14,5,524
121,493,dez./14,1,134
122,496,dez./14,5,11
123,148,dez./14,5,27
124,60,dez./14,1,428
125,275,dez./14,5,47
126,167,dez./14,1,439
127,933,dez./14,1,97
128,1737,dez./14,1,12
129,220,dez./14,5,166
130,102,dez./14,5,13
131,116,dez./14,5,516
132,90,dez./14,1,63
133,492,dez./14,1,510
134,169,dez./14,1,230
135,100,dez./14,6,521
136,297,dez./14,5,87
137,315,dez./14,5,48
138,43,dez./14,1,88
139,215,dez./14,1,175
140,538,dez./14,1,431
141,61,dez./14,5,441
142,301,dez./14,1,73
143,417,dez./14,1,22
144,23,dez./14,1,28
145,97,dez./14,5,424
146,48,dez./14,3,435
147,919,dez./14,5,14
148,294,dez./14,1,200
149,139,dez./19,2,201
150,98,dez./14,5,523
151,210,dez./14,1,75
152,62,dez./14,5,89
153,1080,dez./14,5,94
154,61,dez./14,5,169
155,74,dez./14,1,100
156,634,dez./14,1,204
157,186,dez./14,1,205
158,137,dez./14,1,511
159,13,dez./14,5,517
160,68,dez./14,1,518
161,200,dez./14,1,95
162,573,dez./14,1,10
163,210,dez./14,5,170
164,1627,dez./14,5,90
165,286,dez./14,5,128
166,537,dez./14,1,171
167,200,dez./14,1,56
168,180,dez./14,1,444
169,662,dez./14,1,104
170,42,dez./14,1,188
171,174,dez./14,5,77
172,80,dez./14,5,525
173,177,dez./14,1,23
174,275,dez./14,5,142
175,430,dez./14,1,187
176,31,dez./14,1,143
177,206,dez./14,1,151
178,980,dez./14,5,33
179,415,dez./14,5,105
180,184,dez./14,5,505
181,200,dez./14,1,157
182,81,dez./14,5,16
183,101,dez./14,1,429
184,2290,dez./14,5,6
185,427,dez./14,5,17
186,92,dez./14,5,219
187,1226,dez./14,5,130
188,26,dez./14,1,108
189,25,dez./14,3,526
190,2503,dez./14,5,36
191,651,dez./14,5,173
192,437,dez./14,5,158
193,79,dez./14,5,159
194,121,dez./14,5,513
195,24,dez./14,1,160
196,148,dez./14,5,508
197,44,dez./14,5,59
198,728,dez./14,1,174
199,13,dez./14,5,112
200,590,dez./14,1,81
201,1577,dez./14,5,132
202,49,dez./14,5,222
203,106,dez./14,1,426
204,7,dez./14,3,427
205,864,dez./14,5,115
206,166,dez./14,5,161
207,15,dez./14,1,227
208,497,dez./14,5,82
209,66,dez./14,1,19
210,89,dez./14,7,440
211,272,dez./14,1,62
212,110,dez./14,3,181
213,31,dez./14,3,520
214,45,dez./14,3,528
215,3846,dez./14,1,152
216,137,dez./14,3,527
217,366,dez./14,1,430
218,719,dez./14,1,121
