Id,NOME,IdRegional,Área,IdEstabelecimentosFavela,IdDomicilios,IdPopulacao
26,Acaba Mundo,2,34057,1,1,1
9,Alta Tensão,1,13083,2,2,2
180,Alta Tensão I,1,69079,3,3,3
44,Alto Vera Cruz,3,819946,4,4,4
501,Ambrosina,4,23828,5,5,5
534,Ana Lúcia,5,14224,,6,6
423,Andiroba,5,23395,7,7,7
96,Antena Montanhês,8,20557,8,8,8
124,Antonio Ribeiro de Abreu,5,29994,9,9,9
165,Apolônia,9,199511,10,10,10
127,Bacuraus,7,3201,11,11,11
514,Barão Homem de Melo I,4,3686,12,12,12
515,Barão Homem de Melo III,4,5772,13,13,13
135,Barão Homem de Melo IV,4,44481,14,14,14
507,Beira-Linha,5,197332,15,15,15
45,Belém,3,1005,16,16,16
20,Bernadete,1,71858,17,17,17
504,Biquinhas,7,57492,18,18,18
233,Bispo de Maura,8,9446,19,19,19
506,Boa Esperança,5,15455,20,20,20
419,Boa União I,7,6461,21,21,21
420,Boa União II,7,14506,22,22,22
78,Brasília,5,38007,23,23,23
137,Cabana do Pai Tomás,4,488514,24,24,24
49,Caetano Furquim,3,20204,25,25,25
503,Camponesa III,3,8097,26,26,26
442,Canto do Sabiá,9,9313,27,27,27
7,Castanheira,1,214769,28,28,28
537,Castelo de Manacás,8,64597,,29,29
138,Chácara Leonina,4,38634,30,30,30
51,Cônego Pinheiro,3,15354,31,31,31
52,Cônego Pinheiro A,3,8069,32,32,32
153,Confisco,8,268926,33,33,33
2,Conjunto Bonsucesso,1,36905,34,34,34
64,Conjunto Capitão Eduardo,5,136104,35,35,35
116,Conjunto Floramar,7,21894,36,36,36
536,Conjunto H2-Prosam,4,28485,,37,37
535,Conjunto H5-Prosam,4,49880,,38,38
92,Conjunto Jardim Filadélfia,6,101940,39,39,39
8,Conjunto Jatobá,1,132463,40,40,40
164,Conjunto Minascaixa,9,200047,41,41,41
252,Conjunto Novo Dom Bosco,6,21759,42,42,42
66,Conjunto Paulo VI,5,210455,43,43,43
119,Conjunto Providência,7,11896,44,44,44
24,Conjunto Santa Maria,2,69424,45,45,45
154,Conjunto São Francisco de Assis,8,12133,46,46,46
225,Conjunto Serra Verde,9,11626,47,47,47
43,Conjunto Taquaril,3,1084412,48,48,48
98,Coqueiral,6,60507,49,49,49
243,Corumbiara,1,51492,50,50,50
