Id,Populacao,DataColetaDados,IdPesquisa,IdFavela
1,1173,dez./14,1,26
2,397,dez./14,1,9
3,1973,dez./14,5,180
4,21173,dez./14,5,44
5,751,dez./14,5,501
6,250,dez./19,2,534
7,850,dez./14,5,423
8,448,dez./14,1,96
9,525,dez./14,5,124
10,6016,dez./14,5,165
11,104,dez./14,1,127
12,207,dez./14,1,514
13,182,dez./14,5,515
14,1766,dez./14,5,135
15,4121,dez./14,5,507
16,56,dez./14,3,45
17,1048,dez./14,5,20
18,1494,dez./14,5,504
19,493,dez./14,1,233
20,546,dez./14,1,506
21,177,dez./14,1,419
22,311,dez./14,5,420
23,1653,dez./14,5,78
24,17994,dez./14,1,137
25,366,dez./14,5,49
26,73,dez./14,5,503
27,157,dez./14,5,442
28,2395,dez./14,5,7
29,481,dez./19,2,537
30,434,dez./14,1,138
31,446,dez./14,1,51
32,43,dez./14,1,52
33,4669,dez./14,5,153
34,848,dez./14,5,2
35,2767,dez./14,5,64
36,916,dez./14,1,116
37,866,dez./19,2,536
38,796,dez./19,2,535
39,2934,dez./14,5,92
40,3720,dez./14,1,8
41,4421,dez./14,1,164
42,712,dez./14,5,252
43,3228,dez./14,1,66
44,283,dez./14,1,119
45,1508,dez./14,5,24
46,300,dez./14,1,154
47,240,dez./14,1,225
48,15003,dez./14,5,43
49,1493,dez./14,5,98
50,952,dez./14,1,243
51,186,dez./14,5,519
52,319,dez./14,1,199
53,954,dez./14,1,99
54,2146,dez./14,1,3
55,1616,dez./14,5,39
56,3620,dez./14,5,41
57,249,dez./14,5,167
58,182,dez./14,5,54
59,447,dez./14,1,197
60,114,dez./08,8,74
61,737,dez./14,5,139
62,495,dez./17,3,532
63,1740,dez./14,1,140
64,1091,dez./14,5,418
65,15486,dez./14,1,117
66,391,dez./14,1,55
67,3715,dez./14,5,141
68,73,dez./14,5,101
69,60,dez./14,1,25
70,47,dez./14,5,109
71,6558,dez./14,5,40
72,3541,dez./14,1,42
73,833,dez./14,5,15
74,277,dez./14,1,212
75,2387,dez./14,5,118
76,745,dez./14,5,103
77,336,dez./04,4,411
78,666,dez./14,5,443
79,346,dez./14,1,437
80,1111,dez./14,1,29
81,340,dez./14,1,438
82,4308,dez./14,5,30
83,6283,dez./14,5,31
84,9640,dez./14,1,32
85,131,dez./14,5,172
86,8287,dez./14,1,120
87,1430,dez./19,2,533
88,467,dez./14,5,156
89,919,dez./14,1,218
90,4410,dez./14,5,220
91,153,dez./14,1,34
92,858,dez./18,6,530
93,109,dez./14,1,445
94,683,dez./14,1,509
95,139,dez./14,1,35
96,2790,dez./14,1,5
97,5029,dez./14,5,37
98,2782,dez./14,5,144
99,4078,dez./14,1,38
100,571,dez./14,5,110
101,194,dez./14,1,421
102,1260,dez./14,5,111
103,1686,dez./14,1,433
104,1723,dez./14,1,145
105,2710,dez./14,1,146
106,2846,dez./14,5,147
107,1159,dez./14,5,60
108,356,dez./14,1,85
109,505,dez./14,1,61
110,2849,dez./14,5,113
111,1071,dez./14,1,114
112,535,dez./17,6,531
113,903,dez./14,5,83
114,1525,dez./14,1,93
115,1882,dez./14,5,178
116,125,dez./14,1,168
117,7472,dez./14,5,150
118,352,dez./14,5,251
119,618,dez./14,1,155
120,161,dez./14,5,524
121,1600,dez./14,1,134
122,1661,dez./14,5,11
123,507,dez./14,5,27
124,192,dez./14,1,428
125,928,dez./14,5,47
126,529,dez./14,1,439
127,3100,dez./14,1,97
128,5668,dez./14,1,12
129,741,dez./14,5,166
130,350,dez./14,5,13
131,402,dez./14,5,516
132,337,dez./14,1,63
133,1491,dez./14,1,510
134,534,dez./14,1,230
135,294,dez./14,6,521
136,1042,dez./14,5,87
137,945,dez./14,5,48
138,142,dez./14,1,88
139,808,dez./14,1,175
140,1704,dez./14,1,431
141,226,dez./14,5,441
142,990,dez./14,1,73
143,1444,dez./14,1,22
144,72,dez./14,1,28
145,356,dez./14,5,424
146,169,dez./14,3,435
147,2997,dez./14,5,14
148,980,dez./14,1,200
149,446,dez./19,2,201
150,314,dez./14,5,523
151,701,dez./14,1,75
152,179,dez./14,5,89
153,3189,dez./14,5,94
154,198,dez./14,5,169
155,259,dez./14,1,100
156,1930,dez./14,1,204
157,666,dez./14,1,205
158,421,dez./14,1,511
159,39,dez./14,5,517
160,201,dez./14,1,518
161,663,dez./14,1,95
162,1903,dez./14,1,10
163,681,dez./14,5,170
164,5370,dez./14,5,90
165,853,dez./14,5,128
166,1603,dez./14,1,171
167,673,dez./14,1,56
168,591,dez./14,1,444
169,2273,dez./14,1,104
